ticker,year,sector,is_financial,repo_path,doc_name,doc_class,n_candidates,other_candidates,local_path,size_bytes,n_chars,digit_ratio,diacritic_ratio,replacement_chars,n_lines,avg_line_len,ocr_grade,pdf_path
HAH,2017,logistics,false,ocr_results/HAH/2017/HAH_Baocaotaichinh_2017_Kiemtoan_Hopnhat/HAH_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,HAH_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,HAH_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/HAH/2017/HAH_Baocaotaichinh_2017_Kiemtoan_Hopnhat/HAH_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,173969,145034,0.0928,0.207,0,1855,78.2,good,pdf_files/HAH/2017/HAH_Baocaotaichinh_2017_Kiemtoan_Hopnhat.pdf
HAH,2024,logistics,false,ocr_results/HAH/2024/HAH_Baocaotaichinh_2024_Kiemtoan_Hopnhat/HAH_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,HAH_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,HAH_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/HAH/2024/HAH_Baocaotaichinh_2024_Kiemtoan_Hopnhat/HAH_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,211067,175749,0.1015,0.1999,0,2065,85.1,good,pdf_files/HAH/2024/HAH_Baocaotaichinh_2024_Kiemtoan_Hopnhat.pdf
PVT,2017,logistics,false,ocr_results/PVT/2017/PVT_Baocaotaichinh_2017_Kiemtoan_Hopnhat/PVT_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,PVT_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,PVT_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/PVT/2017/PVT_Baocaotaichinh_2017_Kiemtoan_Hopnhat/PVT_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,159966,134964,0.1166,0.2007,0,1330,101.5,good,
PVT,2024,logistics,false,ocr_results/PVT/2024/PVT_Baocaotaichinh_2024_Kiemtoan_Hopnhat/PVT_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,PVT_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,PVT_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/PVT/2024/PVT_Baocaotaichinh_2024_Kiemtoan_Hopnhat/PVT_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,180350,152417,0.1128,0.1948,0,1681,90.7,good,
HPG,2017,manufacturing,false,ocr_results/HPG/2017/HPG_Baocaotaichinh_2017_Kiemtoan_Hopnhat/HPG_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,HPG_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,HPG_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/HPG/2017/HPG_Baocaotaichinh_2017_Kiemtoan_Hopnhat/HPG_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,199347,169159,0.1268,0.1995,0,1962,86.2,good,
HPG,2024,manufacturing,false,ocr_results/HPG/2024/bao-cao-tai-chinh-hop-nhat-nam-2024-da-kiem-toan-1/bao-cao-tai-chinh-hop-nhat-nam-2024-da-kiem-toan-1_extracted.txt,bao-cao-tai-chinh-hop-nhat-nam-2024-da-kiem-toan-1,consolidated,2,HPG_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/HPG/2024/bao-cao-tai-chinh-hop-nhat-nam-2024-da-kiem-toan-1/bao-cao-tai-chinh-hop-nhat-nam-2024-da-kiem-toan-1_extracted.txt,176867,150628,0.1371,0.1966,0,1699,88.7,good,
NTP,2017,manufacturing,false,ocr_results/NTP/2017/NTP_Baocaotaichinh_2017_Kiemtoan_Hopnhat/NTP_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,NTP_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,NTP_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/NTP/2017/NTP_Baocaotaichinh_2017_Kiemtoan_Hopnhat/NTP_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,107589,87495,0.1068,0.1994,0,1263,69.3,good,
NTP,2024,manufacturing,false,ocr_results/NTP/2024/4_ntp_2025_3_28_dd3f671_vi_baocaotaichinh_kiemtoan_2024/4_ntp_2025_3_28_dd3f671_vi_baocaotaichinh_kiemtoan_2024_extracted.txt,4_ntp_2025_3_28_dd3f671_vi_baocaotaichinh_kiemtoan_2024,generic,2,3_ntp_2025_3_28_7536ef6_vn_baocaotaichinh_kiemtoan_2024[generic],D:/Finance2026/data/sample/raw/ocr_results/NTP/2024/4_ntp_2025_3_28_dd3f671_vi_baocaotaichinh_kiemtoan_2024/4_ntp_2025_3_28_dd3f671_vi_baocaotaichinh_kiemtoan_2024_extracted.txt,116789,100164,0.1229,0.1866,0,1240,80.8,good,
TNG,2017,manufacturing,false,ocr_results/TNG/2017/TNG_Baocaotaichinh_2017_Kiemtoan/TNG_Baocaotaichinh_2017_Kiemtoan_extracted.txt,TNG_Baocaotaichinh_2017_Kiemtoan,generic,1,,D:/Finance2026/data/sample/raw/ocr_results/TNG/2017/TNG_Baocaotaichinh_2017_Kiemtoan/TNG_Baocaotaichinh_2017_Kiemtoan_extracted.txt,108070,91254,0.1178,0.2005,0,1078,84.7,good,
TNG,2024,manufacturing,false,ocr_results/TNG/2024/TNG_Baocaotaichinh_2024_Kiemtoan/TNG_Baocaotaichinh_2024_Kiemtoan_extracted.txt,TNG_Baocaotaichinh_2024_Kiemtoan,generic,1,,D:/Finance2026/data/sample/raw/ocr_results/TNG/2024/TNG_Baocaotaichinh_2024_Kiemtoan/TNG_Baocaotaichinh_2024_Kiemtoan_extracted.txt,167601,140745,0.1053,0.2022,0,1688,83.4,good,
VGC,2017,manufacturing,false,ocr_results/VGC/2017/1.VGC_2018.4.5_07ea292_BCTC_HN__31.12.2017/1.VGC_2018.4.5_07ea292_BCTC_HN__31.12.2017_extracted.txt,1.VGC_2018.4.5_07ea292_BCTC_HN__31.12.2017,consolidated,2,1.VGC_2018.4.5_6b68d8d_BCTC_Rieng__31.12.2017[separate],D:/Finance2026/data/sample/raw/ocr_results/VGC/2017/1.VGC_2018.4.5_07ea292_BCTC_HN__31.12.2017/1.VGC_2018.4.5_07ea292_BCTC_HN__31.12.2017_extracted.txt,250203,214861,0.1273,0.1838,0,1839,116.8,good,
VGC,2024,manufacturing,false,ocr_results/VGC/2024/VGC_Baocaotaichinh_2024_Kiemtoan_Hopnhat/VGC_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,VGC_Baocaotaichinh_2024_Kiemtoan_Hopnhat,consolidated,2,VGC_Baocaotaichinh_2024_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/VGC/2024/VGC_Baocaotaichinh_2024_Kiemtoan_Hopnhat/VGC_Baocaotaichinh_2024_Kiemtoan_Hopnhat_extracted.txt,238275,202551,0.1195,0.19,0,1778,113.9,good,
HUT,2017,real_estate,false,ocr_results/HUT/2017/1.HUT_2018.3.28_b31e4fa_BCTC_HN_2017_signed/1.HUT_2018.3.28_b31e4fa_BCTC_HN_2017_signed_extracted.txt,1.HUT_2018.3.28_b31e4fa_BCTC_HN_2017_signed,consolidated,2,HUT_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/HUT/2017/1.HUT_2018.3.28_b31e4fa_BCTC_HN_2017_signed/1.HUT_2018.3.28_b31e4fa_BCTC_HN_2017_signed_extracted.txt,147239,125094,0.1297,0.1943,0,1460,85.7,good,
HUT,2024,real_estate,false,ocr_results/HUT/2024/4_hut_2025_4_2_f4a0b52_vi_baocaotaichinh_kiemtoan_2024_bchn_sign/4_hut_2025_4_2_f4a0b52_vi_baocaotaichinh_kiemtoan_2024_bchn_sign_extracted.txt,4_hut_2025_4_2_f4a0b52_vi_baocaotaichinh_kiemtoan_2024_bchn_sign,consolidated,2,4_hut_2025_4_2_adda63c_vi_baocaotaichinh_kiemtoan_2024_hut_sign[generic],D:/Finance2026/data/sample/raw/ocr_results/HUT/2024/4_hut_2025_4_2_f4a0b52_vi_baocaotaichinh_kiemtoan_2024_bchn_sign/4_hut_2025_4_2_f4a0b52_vi_baocaotaichinh_kiemtoan_2024_bchn_sign_extracted.txt,264586,224337,0.1135,0.1866,0,2162,103.8,good,
IDC,2017,real_estate,false,ocr_results/IDC/2017/IDC_Baocaotaichinh_2017_Kiemtoan_Hopnhat/IDC_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,IDC_Baocaotaichinh_2017_Kiemtoan_Hopnhat,consolidated,2,IDC_Baocaotaichinh_2017_Kiemtoan_Congtyme[separate],D:/Finance2026/data/sample/raw/ocr_results/IDC/2017/IDC_Baocaotaichinh_2017_Kiemtoan_Hopnhat/IDC_Baocaotaichinh_2017_Kiemtoan_Hopnhat_extracted.txt,179834,154214,0.1387,0.1902,0,1490,103.5,good,
